authorId,author
1865091,Krista A. Ehinger
1403635503,Barbara Hidalgo-Sotelo
143805211,A. Torralba
143868587,A. Oliva
1845878062,Trong-Thang Pham
2330154088,Tien-Phat Nguyen
2330082693,Yuki Ikebe
2266838867,Akash Awasthi
2309124307,Zhigang Deng
2309080070,Carol C. Wu
2267878836,H. Nguyen
2309006395,Ngan Le
6654149,Zhixiong Nan
2120489252,Tao Xiang
2261892993,Yuchen Zhou
2301848834,Linkai Liu
2266597382,Chao Gou
2136000994,Josefine Albert
2291608771,Werner X. Schneider
4562442,Christian H. Poth
1582477446,Y. A. D. Djilali
2253588950,Kevin McGuinness
2137567915,Noel E. O'Connor
1743045,S. Ullman
3081102,Liav Assif
3120687,Alona Strugatski
2909186,B. Vatashsky
51260073,Hila Levi
2051799405,Aviv Netanyahu
2091806181,A. Yaari
48138050,D. Harris
148178959,T. Arthur
2130837630,M. Wilson
7963053,S. Vine
2158537700,Muhan Shen
2027461946,Yunfei Xie
49220221,Yuri Fujii
48553861,N. Furuya
4041705,J. Moskowitz
8340070,Jolande Fooken
2060684,M. Castelhano
2897976,J. Gallivan
143898053,J. Flanagan
7682161,Shima Rashidi
2051535419,Weilun Xu
2116444719,Dian Lin
2028445562,A. Turpin
47775409,Lars Kulik
114670483,Yevhen Damanskyy
1648590660,Yidong Yang
145833514,L. Mo
3486445,Guillaume Lio
2232839913,Yulong Huang
40451073,Thomas Perret
2643325,A. Sirigu
50117547,J. Duhamel
2082463068,Bing He
49191695,Weihua Dong
2067745309,Hua Liao
2054573663,Qi Ying
1633532182,Bowen Shi
2108515165,Jiping Liu
2153953468,Yong Wang
2180918835,Manoosh Samiei
51196960,James J. Clark
52154557,J. Hollander
69511896,A. Sussman
118101227,P. Lowitt
2077312078,Neil Angus
1993200717,Minyu Situ
2170349072,Aliya Magnuson
3224888,Alejandro Lleras
2516392,S. Buetti
2129500017,Z. Xu
1413700509,Emmanouil Ktistakis
1831215491,Vasileios Skaramagkas
2830226,D. Manousos
2715042,N. Tachos
1753261,E. Tripoliti
1692818,D. Fotiadis
2992223,M. Tsiknakis
152829057,Yupei Chen
2144351671,Zhibo Yang
31607543,Souradeep Chakraborty
26889443,Sounak Mondal
144078005,Seoyoung Ahn
145654220,D. Samaras
2356016,Minh Hoai
1696991,G. Zelinsky
1606134551,Tianjiao Lu
2113729312,Menghan Tang
2156698254,Yu Guo
50132843,Chenchen Zhou
2156422992,Qingxian Zhao
3012546,Xuqun You
2118117081,Yunzhan Zhou
2056030835,Tian Feng
1411480789,Shihui Shuai
2116273649,Xiangdong Li
2110887737,Lingyun Sun
1679875,H. Duh
2150929282,Fei Yan
2145774793,Cheng Chen
2100336345,Peng Xiao
2149538510,Siyu Qi
2157206096,Zhiliang Wang
2198145,Ruoxiu Xiao
152525749,Markus Frey
1891681,Matthias Nau
48259069,Christian F. Doeller
2118240790,Jingjing Jiang
46757485,Xiaofeng Gao
3373601,Sanping Zhou
2597805,Weiliang Zuo
1437972053,Ping Wei
122737130,N. Zheng
2107992485,Shi Chen
1405907659,Ming Jiang
2110014766,Jinhui Yang
153386875,Qi Zhao
3184373,Sangbong Yoo
3683492,Seongmin Jeong
2109886368,Seokyeon Kim
2118243982,Yun Jang
31272704,Ashkan Taghipour
3127133,H. Ghassemian
25158111,Ekta Prashnani
39775678,Orazio Gallo
2145454839,Joohwan Kim
31515182,J. Spjut
143881938,P. Sen
145134808,I. Frosio
2092023363,M. Mikhailenko
102399642,Nadezhda Maksimenko
92035426,M. Kurushkin
32194041,C. Peacock
15860199,Deborah A. Cronin
2506727,Taylor R. Hayes
144897958,J. Henderson
49941672,Zhiming Hu
3194727,A. Bulling
1992908271,Sheng Li
50248637,Guoping Wang
2686200,Giorgos Giannakakis
1869738,Ioannis Karatzanis
2629216,K. Marias
2119623,B. Gibson
51982527,M. Heinrich
5057075,T. Mullins
144035123,Alfred B. Yu
143727831,J. Hansberger
1834427,V. Clark
3369864,B. Tatler
143746874,Christopher R. Bennett
2766209,P. Bex
2372957,L. Merabet
2111433515,Fangbin Xu
3228938,Dongyue Chen
1642134508,Xingya Chang
2047311176,Reza Eghdam
1707975,R. Ebrahimpour
9393445,I. Zabbah
6171422,Sajjad Zabbah
36031463,Louise Gillian C. Bautista
144267266,P. Naval
90799334,Spencer G. Mattingly
1993231685,Elizabeth M Hardesty
87755009,Kevin Chovanec
50821939,M. Cobos
2110196495,Jacqueline Garcia
122319778,Meghan Grizzle
1993227510,Amanda Huerta
1993253528,Jesse Ohtake
