paperId,field
5a4e03154efea02e97ca3f5ae2f01d698f15d3e9,Computer Science
40ede3e3477853d688951b9ac685770d4d506788,Computer Science
d1c016ad763d3fbbebf79981af54d459c48f0a74,Computer Science
acc0377d8ccbc35c8a3c2ca63cd42909f954561c,Computer Science
75b51215e728e5d82c2d1ae722c25d0b4ceb0b39,Medicine
3891f205f9733fd64f085bfb096e3d557e5578aa,Computer Science
b31b25f59d5a191167eb4755383797103daaefac,Medicine
01f4154441502641c4bd63eb029130f6e6f28c09,Computer Science
5f2c0fffeb54adc8312d87bdaa4470220e72d83b,Medicine
02325954f6d81ee19f63307c90f19eb41f458606,Computer Science
02325954f6d81ee19f63307c90f19eb41f458606,Engineering
224537e971d63c5ab906342e1ac93c5de974de39,Computer Science
224537e971d63c5ab906342e1ac93c5de974de39,Medicine
10aa7a656ba1daf64e2ebc74cb6cbb3658cec341,Computer Science
6be940195fdaf3beeebde811f08d221c76e75512,Medicine
91be9b64512f00df0bf10a74eed5a3ce9392e560,Computer Science
eba54f56853495e0d78f5f0ad1214d4a0d302a8b,Medicine
5e5c85a508eb1f4e959d5bdb343ae4f0d91811b0,Medicine
5e5c85a508eb1f4e959d5bdb343ae4f0d91811b0,Computer Science
9c19baca2b600b5c49bb0c595f783f3b7ce755bf,Medicine
9c19baca2b600b5c49bb0c595f783f3b7ce755bf,Computer Science
9f19ec6f1dd98b813501b81541bd741212a1369e,Computer Science
9f19ec6f1dd98b813501b81541bd741212a1369e,Medicine
6cafc9d7fc1aed39f8dec59f27ca4fea3843c37e,Computer Science
1577ba992feb9d7a3f5e78f4c4bd67dfada55790,Computer Science
9dd395562b2a239fcaf6ae200279d430640b770f,Computer Science
367a13deb9c9d313cdf53750a2ef086bb00bdad9,Computer Science
dfc1d7e653af7a4a4c20bcb626b8fedd3290ad55,Medicine
dfc1d7e653af7a4a4c20bcb626b8fedd3290ad55,Psychology
b82bf30797b9a110e137bd5876c4572855fa1100,Computer Science
b82bf30797b9a110e137bd5876c4572855fa1100,Medicine
89b5985f9b04f1c9f1af5da6cafa9b57af3b0a1b,Medicine
2f13ff9fbdce43a29341fd5367be0a4cfd2207ff,Medicine
d69c2559ca20241db00f6853982f676a7d10e6f4,Medicine
d5204405d583367fccba79762878c15e3db7fb52,Medicine
06fdcdd8c921c0fe67325a5997f1cc33e981f9aa,Computer Science
522a67ce529453884549bfb33eeeb4c36244e87c,Computer Science
522a67ce529453884549bfb33eeeb4c36244e87c,Medicine
