paperId,venue
01e77cd46ab75bab8f4b176455f0daa592e5f979,
5a4e03154efea02e97ca3f5ae2f01d698f15d3e9,
40ede3e3477853d688951b9ac685770d4d506788,IEEE transactions on circuits and systems for video technology (Print)
d1c016ad763d3fbbebf79981af54d459c48f0a74,Computer Vision and Pattern Recognition
0252e2e89c55f45e431df15d63878f68a0f9377e,Frontiers in Cognition
acc0377d8ccbc35c8a3c2ca63cd42909f954561c,IEEE Workshop/Winter Conference on Applications of Computer Vision
75b51215e728e5d82c2d1ae722c25d0b4ceb0b39,Proceedings of the National Academy of Sciences of the United States of America
3891f205f9733fd64f085bfb096e3d557e5578aa,2023 11th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW)
f3b2e58eeb8db80b414d4a2a0152d3ad5b8b33c8,Journal of Asian Architecture and Building Engineering
b31b25f59d5a191167eb4755383797103daaefac,Journal of Vision
01f4154441502641c4bd63eb029130f6e6f28c09,Pattern Recognition
9e5ce5d20ec86296f1c9e69d25bc953afa7daa9d,Visual Cognition
5f2c0fffeb54adc8312d87bdaa4470220e72d83b,Scientific Reports
77c98b7c7762d34e14abe79dec8f27833c1822ee,Cartography and Geographic Information Science
02325954f6d81ee19f63307c90f19eb41f458606,arXiv.org
4166174eda05f86ae4b47e026ed5a1eff454b315,Journal of Urban Design
61092e8b51e60b9accb6980a383a2014baf641e8,Nature Reviews Psychology
224537e971d63c5ab906342e1ac93c5de974de39,Comput. Methods Programs Biomed.
10aa7a656ba1daf64e2ebc74cb6cbb3658cec341,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
6be940195fdaf3beeebde811f08d221c76e75512,Journal of Vision
8f658e5e34780617b06b083925400b7b20870883,Australian journal of psychology
91be9b64512f00df0bf10a74eed5a3ce9392e560,Frontiers of Information Technology & Electronic Engineering
36b6574cd825de3dea74e2f93ec2356c66cc6bf2,Applied Sciences
eba54f56853495e0d78f5f0ad1214d4a0d302a8b,Nature Neuroscience
